snr_db,ber_sim,ber_theory
0.000000,0.000000000000e+00,7.864960352514e-02
1.000000,0.000000000000e+00,5.628195197654e-02
2.000000,0.000000000000e+00,3.750612835893e-02
3.000000,0.000000000000e+00,2.287840756109e-02
4.000000,0.000000000000e+00,1.250081804074e-02
5.000000,0.000000000000e+00,5.953867147779e-03
6.000000,0.000000000000e+00,2.388290780933e-03
7.000000,0.000000000000e+00,7.726748153784e-04
8.000000,0.000000000000e+00,1.909077740760e-04
9.000000,0.000000000000e+00,3.362722841962e-05
10.000000,0.000000000000e+00,3.872108215522e-06
